,open,high,low,close,volume,money
2015-07-03,4.01,4.12,3.91,4.02,1555396813.0,6290095104.0
2015-07-06,4.34,4.39,4.11,4.38,3896986098.0,16699620352.0
2015-07-07,4.33,4.7,4.24,4.54,2843968491.0,12789666816.0
2015-07-08,4.28,4.6,4.09,4.32,3757710544.0,16225472512.0
2015-07-09,4.32,4.65,4.03,4.41,2540161012.0,11073784832.0
2015-07-10,4.27,4.66,4.2,4.38,2676820018.0,11959769088.0
2015-07-13,4.26,4.28,4.13,4.17,1774913222.0,7451598336.0
2015-07-14,4.11,4.16,3.98,4.07,1386960143.0,5625904640.0
2015-07-15,4.04,4.19,4.03,4.17,1341090832.0,5521335808.0
2015-07-16,4.17,4.25,4.07,4.13,937737995.0,3888617216.0
2015-07-17,4.13,4.14,4.07,4.12,697931326.0,2864933632.0
2015-07-20,4.1,4.12,4.06,4.09,627261526.0,2567507712.0
2015-07-21,4.07,4.1,4.04,4.07,518680817.0,2110593792.0
2015-07-22,4.06,4.09,4.04,4.05,419738556.0,1702971136.0
2015-07-23,4.04,4.08,4.03,4.07,478286203.0,1942306432.0
2015-07-24,4.07,4.08,4.02,4.03,553789596.0,2241409792.0
2015-07-27,4.0,4.03,3.76,3.81,798913752.0,3140444672.0
2015-07-28,3.76,3.94,3.73,3.82,756506619.0,2895525888.0
2015-07-29,3.79,3.87,3.79,3.84,477210344.0,1824651648.0
2015-07-30,3.83,3.84,3.79,3.79,394854038.0,1503512960.0
2015-07-31,3.77,3.84,3.75,3.82,388034679.0,1467023104.0
2015-08-03,3.79,3.87,3.76,3.85,608391699.0,2319874560.0
2015-08-04,3.82,3.86,3.81,3.85,322762307.0,1236804352.0
2015-08-05,3.83,3.85,3.81,3.81,284762289.0,1090274432.0
2015-08-06,3.79,3.83,3.78,3.8,208477664.0,794823808.0
2015-08-07,3.82,3.83,3.79,3.83,234001423.0,894413248.0
2015-08-10,3.82,3.89,3.79,3.89,550165069.0,2116314624.0
2015-08-11,3.87,3.87,3.83,3.85,395147815.0,1520043136.0
2015-08-12,3.82,3.83,3.79,3.79,248976909.0,948524928.0
2015-08-13,3.79,3.82,3.75,3.79,257163778.0,972276352.0
2015-08-14,3.79,3.79,3.76,3.77,211973942.0,799466816.0
2015-08-17,3.76,3.76,3.71,3.72,281754559.0,1049689216.0
2015-08-18,3.72,3.75,3.66,3.66,409341704.0,1517727488.0
2015-08-19,3.64,3.68,3.57,3.61,430494675.0,1555867392.0
2015-08-20,3.63,3.64,3.59,3.6,286568684.0,1036189248.0
2015-08-21,3.57,3.65,3.57,3.59,495334073.0,1788192512.0
2015-08-24,3.54,3.54,3.23,3.24,667233851.0,2243120896.0
2015-08-25,3.15,3.33,3.01,3.08,674951418.0,2138834944.0
2015-08-26,3.14,3.25,3.01,3.2,754007291.0,2368997888.0
2015-08-27,3.21,3.36,3.12,3.35,713040545.0,2303939072.0
2015-08-28,3.34,3.38,3.29,3.34,465801140.0,1547716480.0
2015-08-31,3.3,3.33,3.25,3.31,379756638.0,1250690560.0
2015-09-01,3.31,3.58,3.3,3.56,1288335458.0,4491813888.0
2015-09-02,3.45,3.91,3.43,3.91,1764012967.0,6542697984.0
2015-09-07,3.74,3.76,3.55,3.57,820330710.0,2988526848.0
2015-09-08,3.51,3.59,3.44,3.56,511264919.0,1800877184.0
2015-09-09,3.52,3.58,3.49,3.56,463221265.0,1636333824.0
2015-09-10,3.53,3.55,3.5,3.53,233286957.0,822389632.0
2015-09-11,3.52,3.53,3.49,3.5,162674613.0,572234112.0
2015-09-14,3.49,3.64,3.45,3.57,539029768.0,1920341376.0
2015-09-15,3.53,3.62,3.51,3.59,484249650.0,1729309184.0
2015-09-16,3.54,3.63,3.51,3.58,302066637.0,1073991424.0
2015-09-17,3.57,3.62,3.56,3.57,271144296.0,974248960.0
2015-09-18,3.57,3.58,3.49,3.52,205268990.0,727310016.0
2015-09-21,3.49,3.51,3.45,3.49,208192934.0,723810624.0
2015-09-22,3.49,3.53,3.48,3.51,171960392.0,602505600.0
2015-09-23,3.49,3.5,3.45,3.45,140131707.0,486081056.0
2015-09-24,3.46,3.48,3.44,3.45,98099262.0,339021024.0
2015-09-25,3.45,3.53,3.44,3.52,227525830.0,792278272.0
2015-09-28,3.49,3.51,3.45,3.46,118612051.0,410812160.0
2015-09-29,3.45,3.45,3.41,3.42,118375133.0,405256096.0
2015-09-30,3.42,3.45,3.42,3.42,90712305.0,311465568.0
2015-10-08,3.48,3.49,3.45,3.46,152672273.0,530081600.0
2015-10-09,3.48,3.52,3.47,3.51,149786043.0,524746176.0
2015-10-12,3.52,3.59,3.5,3.57,235795169.0,837960768.0
2015-10-13,3.55,3.56,3.5,3.52,155584883.0,548936704.0
2015-10-14,3.5,3.52,3.49,3.5,111887336.0,391745024.0
2015-10-15,3.5,3.55,3.49,3.55,143894339.0,507596672.0
2015-10-16,3.56,3.57,3.54,3.56,174507178.0,620409280.0
2015-10-19,3.56,3.58,3.54,3.55,160612783.0,571823936.0
2015-10-20,3.54,3.57,3.53,3.56,111600855.0,396069984.0
2015-10-21,3.56,3.91,3.54,3.77,500399433.0,1810248576.0
2015-10-22,3.63,3.73,3.61,3.68,329219929.0,1203285248.0
2015-10-23,3.64,3.68,3.61,3.64,259869575.0,947384256.0
2015-10-26,3.66,3.67,3.63,3.65,177860838.0,648250624.0
2015-10-27,3.64,3.7,3.62,3.66,217376287.0,795044864.0
2015-10-28,3.64,3.69,3.62,3.64,224368520.0,819665600.0
2015-10-29,3.64,3.65,3.61,3.62,167188201.0,606674560.0
2015-10-30,3.62,3.64,3.61,3.61,146710657.0,530913888.0
2015-11-02,3.6,3.64,3.57,3.57,146404676.0,527258368.0
2015-11-03,3.57,3.58,3.51,3.52,174402264.0,616684736.0
2015-11-04,3.51,3.61,3.5,3.61,272826631.0,972451968.0
2015-11-05,3.58,3.73,3.57,3.67,570403439.0,2092087424.0
2015-11-06,3.65,3.68,3.62,3.68,308182680.0,1123743104.0
2015-11-09,3.71,3.89,3.68,3.79,663888408.0,2526205952.0
2015-11-10,3.76,3.79,3.72,3.74,331308261.0,1240416128.0
2015-11-11,3.72,3.73,3.68,3.72,246113740.0,912946368.0
2015-11-12,3.7,3.72,3.65,3.68,191547782.0,705887616.0
2015-11-13,3.66,3.68,3.64,3.64,167323898.0,610780160.0
2015-11-16,3.61,3.68,3.61,3.68,203547737.0,742615296.0
2015-11-17,3.68,3.72,3.66,3.69,231373705.0,855381568.0
2015-11-18,3.68,3.72,3.66,3.7,211277163.0,780102592.0
2015-11-19,3.68,3.71,3.68,3.7,147632949.0,545087040.0
2015-11-20,3.69,3.7,3.67,3.68,177175737.0,651784448.0
2015-11-23,3.68,3.68,3.64,3.68,214382967.0,785636032.0
2015-11-24,3.67,3.68,3.63,3.67,241413840.0,881859968.0
2015-11-25,3.65,3.69,3.64,3.68,244188325.0,895611456.0
2015-11-26,3.68,3.71,3.68,3.7,232743684.0,859312192.0
2015-11-27,3.68,3.7,3.59,3.62,198296793.0,722141120.0
2015-11-30,3.61,3.66,3.61,3.65,263288988.0,956407040.0
